skuId,productId,brandName,productName,listPrice,salePrice,rating,reviews,imageUrl,url,isNew,isLimitedEdition,isSephoraExclusive
2590149,P502850,Freck Beauty,MAKEOUT CLUB Soft Blur Lipstick,24.0,16.8,4.4833,329,https://www.sephora.com/productimages/sku/s2590149-main-zoom.jpg?imwidth=270&pb=clean-at-sephora,https://www.sephora.com/product/freck-beauty-makeout-club-soft-blur-lipstick-P502850?skuId=2590149,False,False,False
2756104,P507545,NARS,Powermatte High-Intensity Long-Lasting Lip Pencil,32.0,,4.0896,346,https://www.sephora.com/productimages/sku/s2756104-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/powermatte-high-intensity-long-lasting-lip-pencil-P507545?skuId=2756104,False,False,False
2853265,P516420,Prada Beauty,Prada Light Glowing Lip Oil Stick,50.0,,4.3984,512,https://www.sephora.com/productimages/sku/s2853265-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/prada-light-glowing-lip-oil-stick-P516420?skuId=2853265,False,False,False
2870749,P516070,SEPHORA COLLECTION,Color Twister Color Changing Oil-in-Stick for Lip + Cheek,12.0,,4.4579,107,https://www.sephora.com/productimages/sku/s2870749-main-zoom.jpg?imwidth=270&pb=2023-03-sephora-value-2023,https://www.sephora.com/product/color-twister-color-changing-oil-in-stick-lip-cheek-P516070?skuId=2870749,False,True,False
2749489,P452736,Gucci,Long Lasting Satin Lipstick,49.0,,4.4332,644,https://www.sephora.com/productimages/sku/s2749489-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/gucci-rouge-agrave-l-egrave-vres-satin-lipstick-P452736?skuId=2749489,False,False,False
2484715,P474948,Givenchy,Le Rouge Sheer Velvet Matte Lipstick,48.0,,4.4461,269,https://www.sephora.com/productimages/sku/s2484715-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/givenchy-le-rouge-sheer-velvet-matte-lipstick-P474948?skuId=2484715,False,False,False
2754083,P509658,Prada Beauty,Monochrome Hyper Matte Refillable Lipstick,,,4.6313,198,https://www.sephora.com/productimages/sku/s2754083-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/prada-beauty-monochrome-hyper-matte-refillable-lipstick-P509658?skuId=2754083,False,False,False
2244564,P446609,Charlotte Tilbury,Hot Lips Lipstick 2,38.0,,4.2977,430,https://www.sephora.com/productimages/sku/s2244564-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/hot-lips-lipstick-2-0-P446609?skuId=2244564,False,False,False
2823839,P513257,Sarah Creal,Speak For Yourself Hydrating Lipstick,50.0,,4.6699,103,https://www.sephora.com/productimages/sku/s2823839-main-zoom.jpg?imwidth=270&pb=clean-at-sephora,https://www.sephora.com/product/sarah-creal-speak-for-yourself-hydrating-lipstick-P513257?skuId=2823839,False,False,False
2417459,P422224,Bobbi Brown,Crushed Lip Color Moisturizing Lipstick,35.0,,4.3617,470,https://www.sephora.com/productimages/sku/s2417459-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/crushed-lip-color-P422224?skuId=2417459,False,False,False
2036408,P404831,Anastasia Beverly Hills,Smudge-Proof Matte Liquid Lipstick,23.0,,3.8209,4322,https://www.sephora.com/productimages/sku/s2036408-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/liquid-lipstick-P404831?skuId=2036408,False,False,False
2787851,P504609,LAWLESS,Forget the Filler Lip-Plumping Line-Smoothing Tinted Lip Balm,26.0,,4.278,1971,https://www.sephora.com/productimages/sku/s2787851-main-zoom.jpg?imwidth=270&pb=clean-at-sephora,https://www.sephora.com/product/lawless-forget-filler-lip-plumping-line-smoothing-tinted-lip-balm-P504609?skuId=2787851,False,False,False
